2023-03-04 23:43:25,423,423 root INFO Block: 497664 To 499712, Step block: 2048, Total transaction: 3325, Transaction ERC-721: 0, Crawled Transaction: 96765, Crawled Transaction ERC 721: 0
2023-03-04 23:43:25,424,424 root INFO Block: 499712 To 503808, Step block: 4096, Total transaction: 3325, Transaction ERC-721: 0, Crawled Transaction: 100090, Crawled Transaction ERC 721: 0
2023-03-04 23:43:33,436,436 root INFO Block: 503808 To 507904, Step block: 4096, Total transaction: 4231, Transaction ERC-721: 0, Crawled Transaction: 104321, Crawled Transaction ERC 721: 0
2023-03-04 23:43:36,774,774 root INFO Block: 507904 To 512000, Step block: 4096, Total transaction: 2372, Transaction ERC-721: 0, Crawled Transaction: 106693, Crawled Transaction ERC 721: 0
2023-03-04 23:43:36,774,774 root INFO Block: 512000 To 520192, Step block: 8192, Total transaction: 2372, Transaction ERC-721: 0, Crawled Transaction: 109065, Crawled Transaction ERC 721: 0
2023-03-04 23:43:42,251,251 root INFO Block: 520192 To 528384, Step block: 8192, Total transaction: 5635, Transaction ERC-721: 0, Crawled Transaction: 114700, Crawled Transaction ERC 721: 0
2023-03-04 23:43:48,072,72 root INFO Block: 528384 To 536576, Step block: 8192, Total transaction: 4557, Transaction ERC-721: 0, Crawled Transaction: 119257, Crawled Transaction ERC 721: 0
2023-03-04 23:43:52,374,374 root INFO Block: 536576 To 544768, Step block: 8192, Total transaction: 2366, Transaction ERC-721: 0, Crawled Transaction: 121623, Crawled Transaction ERC 721: 0
2023-03-04 23:43:52,375,375 root INFO Block: 544768 To 561152, Step block: 16384, Total transaction: 2366, Transaction ERC-721: 0, Crawled Transaction: 123989, Crawled Transaction ERC 721: 0
2023-03-04 23:44:02,808,808 root INFO Block: 561152 To 577536, Step block: 16384, Total transaction: 6986, Transaction ERC-721: 0, Crawled Transaction: 130975, Crawled Transaction ERC 721: 0
2023-03-04 23:44:15,781,781 root INFO Block: 577536 To 593920, Step block: 16384, Total transaction: 8739, Transaction ERC-721: 0, Crawled Transaction: 139714, Crawled Transaction ERC 721: 0
2023-03-04 23:44:22,918,918 root INFO Block: 593920 To 610304, Step block: 16384, Total transaction: 7489, Transaction ERC-721: 0, Crawled Transaction: 147203, Crawled Transaction ERC 721: 0
2023-03-04 23:44:27,928,928 root INFO Block: 610304 To 626688, Step block: 16384, Total transaction: 6341, Transaction ERC-721: 0, Crawled Transaction: 153544, Crawled Transaction ERC 721: 0
