2023-03-16 08:13:33,812,812 root INFO Block: 0 To 1, Step block: 1, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:34,717,717 root INFO Block: 1 To 3, Step block: 2, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:35,622,622 root INFO Block: 3 To 7, Step block: 4, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:36,553,553 root INFO Block: 7 To 15, Step block: 8, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:37,482,482 root INFO Block: 15 To 31, Step block: 16, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:38,383,383 root INFO Block: 31 To 63, Step block: 32, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:39,289,289 root INFO Block: 63 To 127, Step block: 64, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:40,206,206 root INFO Block: 127 To 255, Step block: 128, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:41,108,108 root INFO Block: 255 To 511, Step block: 256, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:42,010,10 root INFO Block: 511 To 1023, Step block: 512, Total transaction: 0, Transaction ERC-1155: 0
2023-03-16 08:13:42,910,910 root INFO Block: 1023 To 2047, Step block: 1024, Total transaction: 0, Transaction ERC-1155: 0
